artist,album,track_name,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo
Powerwolf,Blood of the Saints,Sanctified with Dynamite,0.235,0.968,-4.758,0.0901,0.0,0.225,0.277,87.955
Five Finger Death Punch,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",Mama Said Knock You Out,0.592,0.982,-3.219,0.105,0.0,0.0753,0.723,103.0
Mick Gordon,Doom (Original Game Soundtrack),Rip & Tear,0.506,0.882,-8.683,0.0737,0.795,0.174,0.14,107.994
System Of A Down,Toxicity,Toxicity,0.413,0.873,-4.151,0.0536,0.00249,0.204,0.48,116.68
Trivium,Vengeance Falls (Special Edition),Strife,0.461,0.987,-1.711,0.108,8.48e-05,0.359,0.309,142.031
Machine Head,Unto the Locust (Special Edition),Locust,0.352,0.956,-3.634,0.149,0.0203,0.125,0.228,122.897
Godsmack,The Oracle (Deluxe Edition),Cryin' Like A Bitch!!,0.543,0.808,-5.484,0.0407,0.00336,0.114,0.472,95.19
Amaranthe,MASSIVE ADDICTIVE,Digital World,0.523,0.948,-4.627,0.12,0.053,0.544,0.567,150.025
Nonpoint,X (Deluxe Edition),Chaos And Earthquakes,0.524,0.843,-5.578,0.0536,0.125,0.375,0.212,85.993
Sabaton,Primo Victoria (Re-Armed),Primo Victoria,0.436,0.748,-6.349,0.031,3.01e-06,0.221,0.589,62.11
In Flames,Battles,The End,0.491,0.968,-5.146,0.111,0.0329,0.364,0.388,95.022
Alestorm,Back Through Time,The Sunk'n Norwegian,0.332,0.969,-4.592,0.0986,5.31e-05,0.0984,0.414,105.014
Hardcore Superstar,Split Your Lip,Last Call for Alcohol,0.369,0.972,-2.665,0.061,3.84e-05,0.288,0.394,154.5
Volbeat,Outlaw Gentlemen & Shady Ladies,Dead But Rising,0.397,0.978,-5.565,0.0514,0.591,0.321,0.435,107.703
Five Finger Death Punch,"The Wrong Side Of Heaven And The Righteous Side Of Hell, Volume 1",Burn MF,0.5,0.996,-4.304,0.226,4.24e-06,0.0453,0.203,180.026
Megadeth,Rust In Peace,Holy Wars...The Punishment Due - Remastered 2004,0.325,0.985,-3.941,0.151,0.107,0.351,0.221,125.307
Godsmack,Awake,Awake,0.395,0.756,-4.12,0.0544,0.00665,0.319,0.475,112.092
Nonpoint,Nonpoint,That Day,0.538,0.975,-4.518,0.0668,0.0561,0.296,0.588,100.046
Sabaton,The Last Stand,The Last Stand,0.519,0.935,-5.656,0.0423,0.0,0.0661,0.498,104.044
As I Lay Dying,Shaped by Fire,Blinded,0.332,0.972,-5.258,0.198,0.141,0.365,0.122,200.153
Accept,Blood of the Nations,Beat the Bastards,0.523,0.984,-3.695,0.116,0.0175,0.0553,0.324,120.004
Bullet For My Valentine,Gravity,Letting You Go,0.459,0.903,-4.649,0.0673,0.0,0.168,0.364,76.185
Killswitch Engage,Atonement,Unleashed,0.537,0.993,-4.561,0.0824,0.000181,0.177,0.128,120.02
Megadeth,Dystopia,Dystopia,0.273,0.988,-2.934,0.471,0.0115,0.0891,0.156,110.051
Amaranthe,The Nexus,The Nexus,0.503,0.963,-4.938,0.124,0.0,0.0916,0.636,104.984
Dark Tranquillity,Atoma,Atoma,0.413,0.969,-4.91,0.0822,0.344,0.18,0.179,75.026
Slayer,Repentless,Repentless,0.4,0.994,-7.34,0.0625,0.097,0.145,0.253,104.134
Pantera,Piss,Piss,0.347,0.948,-3.922,0.0533,0.000208,0.256,0.158,105.661
Testament,The Gathering (Remastered),Down For Life,0.344,0.955,-10.614,0.0444,0.111,0.0665,0.352,111.67
Gojira,Magma,Silvera,0.333,0.959,-4.348,0.072,0.0563,0.299,0.242,137.052
Beast In Black,Berserker,Beast in Black,0.161,0.942,-6.67,0.14,0.00315,0.106,0.198,89.011
Nightwish,Once,Nemo,0.491,0.744,-6.306,0.0351,0.000102,0.325,0.375,125.058
Amaranthe,Inferno,Inferno,0.56,0.97,-6.071,0.106,2.06e-05,0.182,0.381,99.992
Sevendust,All I See Is War,Risen,0.496,0.915,-4.853,0.0878,1.82e-06,0.0471,0.346,100.031
Gloryhammer,Tales from the Kingdom of Fife,Angus Mcfife,0.495,0.961,-3.599,0.0356,3.97e-06,0.338,0.659,90.015
Powerwolf,The Sacrament of Sin,Fire & Forgive,0.237,0.961,-4.437,0.25,0.00321,0.0549,0.181,201.464
Gojira,L'Enfant Sauvage,L'enfant sauvage,0.143,0.995,-5.698,0.185,0.438,0.364,0.079,87.803
Nightwish,Dark Passion Play,Amaranth,0.558,0.859,-3.992,0.0421,0.00196,0.0831,0.31,127.98
Whitechapel,Mark of the Blade,Elitist Ones,0.39,0.981,-4.144,0.132,0.529,0.26,0.264,150.371
Megadeth,Rust In Peace,Tornado Of Souls - Remastered 2004,0.519,0.982,-3.547,0.108,0.00055,0.0971,0.361,97.745
Trivium,The Sin and the Sentence,The Sin and the Sentence,0.517,0.97,-3.992,0.0767,0.00026,0.0413,0.476,100.036
Killswitch Engage,Disarm the Descent (Special Edition),In Due Time,0.486,0.959,-3.857,0.0485,0.0259,0.173,0.527,84.997
HELLYEAH,Band of Brothers,Drink Drank Drunk,0.477,0.943,-4.973,0.0532,0.0,0.0512,0.457,93.041
Powerwolf,The Sacrament of Sin,Incense & Iron,0.487,0.952,-4.429,0.0613,0.0,0.161,0.329,125.993
Bullet For My Valentine,Fever,Fever,0.438,0.964,-3.334,0.116,0.0,0.248,0.289,173.054
HammerFall,"No Sacrifice, No Victory",Any Means Necessary,0.466,0.963,-3.759,0.0483,0.508,0.425,0.355,109.994
Metallica,Metallica,Of Wolf And Man,0.626,0.749,-7.746,0.0356,0.0338,0.114,0.493,121.776
DragonForce,Reaching into Infinity,Ashes of the Dawn,0.341,0.982,-4.023,0.18,5.3e-06,0.211,0.244,179.95
Volbeat,Beyond Hell / Above Heaven,The Mirror And The Ripper,0.339,0.932,-4.673,0.0737,0.00141,0.31,0.581,121.448
Powerwolf,Preachers of the Night,Amen & Attack,0.528,0.936,-4.501,0.031,4.9e-05,0.37,0.49,97.973
Underoath,Erase Me,Rapture,0.546,0.937,-4.247,0.0736,0.00333,0.104,0.389,96.033
Amaranthe,MAXIMALISM,Maximize,0.508,0.974,-5.632,0.0742,2.01e-05,0.0626,0.411,134.908
Within Temptation,The Unforgiving,Iron,0.293,0.962,-2.981,0.121,1.62e-05,0.367,0.27,198.121
Megadeth,Dystopia,The Threat Is Real,0.378,0.988,-3.855,0.434,0.0177,0.293,0.107,155.097
Mastodon,Once More 'Round the Sun,The Motherload,0.363,0.971,-2.974,0.0776,0.00358,0.0797,0.347,146.018
DragonForce,Reaching into Infinity,Curse of Darkness,0.439,0.975,-4.359,0.104,1.62e-06,0.0798,0.254,95.009
Metallica,Hardwired…To Self-Destruct,"Atlas, Rise!",0.416,0.994,-3.354,0.0609,0.0299,0.0704,0.434,95.205
Amaranthe,365,365,0.475,0.878,-6.905,0.0707,7.24e-06,0.3,0.477,164.995
Manowar,Kings Of Metal,Kings of Metal,0.575,0.881,-13.012,0.0357,2.69e-05,0.147,0.699,132.127
Scar Symmetry,The Unseen Empire,The Anomaly,0.388,0.991,-3.102,0.098,0.00449,0.33,0.141,94.97
Killswitch Engage,Incarnate,Hate by Design,0.384,0.979,-2.451,0.107,6.51e-05,0.788,0.303,179.948
Judas Priest,Firepower,Lightning Strike,0.521,0.915,-5.705,0.0544,0.43,0.065,0.336,112.507
Black Veil Brides,Torch,Torch,0.315,0.922,-3.249,0.104,0.000189,0.0657,0.402,170.198
Architects,For Those That Wish To Exist,Animals,0.532,0.759,-3.842,0.0319,0.02,0.073,0.293,95.01
Bullet For My Valentine,Knives,Knives,0.515,0.974,-3.716,0.0865,3.3e-06,0.048,0.191,135.949
Trivium,Feast Of Fire,Feast Of Fire,0.346,0.949,-3.973,0.0837,0.422,0.0524,0.323,178.027
Tremonti,If Not for You,If Not for You,0.371,0.927,-5.1,0.0744,0.0671,0.32,0.373,145.099
Memphis May Fire,Blood & Water,Blood & Water,0.461,0.966,-2.792,0.189,3.66e-06,0.33,0.459,140.009
Blind Channel,Balboa,Balboa,0.38,0.899,-3.554,0.165,0.0,0.0626,0.406,82.828
Make Them Suffer,Contraband (feat. Courtney LaPlante),Contraband (feat. Courtney LaPlante),0.475,0.959,-4.135,0.0903,3.24e-06,0.213,0.135,129.983
Within Temptation,Shed My Skin,Shed My Skin (feat. Annisokay),0.476,0.941,-3.488,0.0697,5.5e-06,0.0999,0.222,93.478
Dragged Under,Brainwash Broadcast (feat. Spencer Chamberlain),Brainwash Broadcast (feat. Spencer Chamberlain),0.431,0.954,-4.818,0.121,7.05e-05,0.298,0.592,75.016
We Came As Romans,Darkbloom,Darkbloom,0.493,0.837,-5.405,0.0411,4.58e-06,0.124,0.342,110.012
Beartooth,Below,Skin,0.326,0.939,-3.454,0.254,0.0202,0.0571,0.485,200.005
Crown The Empire,In Another Life (feat. Courtney LaPlante),In Another Life (feat. Courtney LaPlante),0.46,0.983,-3.229,0.107,5.71e-06,0.445,0.204,96.014
Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,Kingslayer (feat. BABYMETAL),0.434,0.929,-2.749,0.147,0.00109,0.0916,0.428,92.541
Iron Maiden,The Writing On The Wall,The Writing On The Wall,0.402,0.912,-5.447,0.0442,0.000179,0.0923,0.566,90.045
Trash Boat,Alpha Omega (feat. Kamiyada+),Alpha Omega (feat. Kamiyada+),0.566,0.926,-7.138,0.208,1.97e-05,0.0761,0.204,98.039
Caskets,Lost Souls,Drowned in Emotion,0.444,0.945,-6.389,0.0714,2.84e-05,0.0661,0.333,77.041
Pop Evil,Versatile,Breathe Again,0.569,0.893,-4.531,0.0673,4.37e-05,0.311,0.653,116.985
From Ashes to New,Quarantine Chronicles Vol. 2,Light Up The Sky,0.336,0.949,-3.43,0.309,0.0,0.33,0.244,165.935
Born Of Osiris,Angel or Alien,Poster Child,0.353,0.958,-4.997,0.0724,0.0521,0.0823,0.264,199.984
Sepultura,Sepulquarta,Slave New World,0.287,0.992,-4.741,0.122,0.263,0.29,0.181,98.372
Attila,Day Drinking,Day Drinking,0.53,0.984,-3.084,0.0538,0.0875,0.431,0.478,140.038
Rob Zombie,The Lunar Injection Kool Aid Eclipse Conspiracy,Crow Killer Blues,0.2,0.869,-7.049,0.0886,0.174,0.134,0.179,86.479
Sabaton,Kingdom Come,Kingdom Come,0.5,0.841,-6.478,0.0431,0.000367,0.363,0.287,89.423
Powerwolf,Dancing with the Dead,Dancing with the Dead,0.384,0.939,-5.906,0.0489,3.14e-05,0.361,0.359,166.069
All Good Things,The Comeback (feat. Craig Mabbitt of Escape The Fate),The Comeback (feat. Craig Mabbitt of Escape The Fate),0.446,0.91,-3.325,0.122,0.0,0.145,0.201,83.066
Our Mirage,Through the Night,Through the Night,0.482,0.906,-6.788,0.0442,7.06e-06,0.343,0.421,144.972
Gojira,Fortitude,Amazonia,0.382,0.954,-4.831,0.0417,0.776,0.244,0.513,181.933
Everrest,Uncomfortably Numb,Uncomfortably Numb,0.429,0.978,-2.794,0.186,0.0,0.141,0.231,155.027
Apocalyptica,White Room (feat. Jacoby Shaddix),White Room (feat. Jacoby Shaddix),0.516,0.957,-4.244,0.0953,0.0064,0.136,0.276,112.991
Ovtlier,Bulletproof,Bulletproof,0.516,0.965,-4.088,0.104,0.0207,0.128,0.543,155.002
Self Deception,Stockholm Hearts,Stockholm Hearts,0.437,0.846,-5.442,0.0687,8.38e-05,0.0977,0.261,200.078
Ice Nine Kills,Hip To Be Scared [Feat. Jacoby Shaddix],Hip To Be Scared [Feat. Jacoby Shaddix],0.307,0.868,-5.376,0.206,0.0,0.123,0.544,90.846
April Art,Fighter,Painkiller,0.429,0.943,-4.389,0.102,4.22e-06,0.215,0.635,158.044
Slaughter to Prevail,Zavali Ebalo,Zavali Ebalo,0.555,0.992,-1.483,0.135,0.0146,0.355,0.489,160.026
The L.I.F.E. Project,The L.I.F.E. Project,Purgatory,0.322,0.779,-4.563,0.0386,2.58e-06,0.0972,0.528,171.864
Seething Akira,Smile Thief,Smile Thief,0.452,0.977,-4.514,0.149,6.44e-05,0.32,0.385,173.932
Dead by April,Collapsing,Collapsing,0.395,0.884,-4.086,0.132,0.0,0.196,0.251,159.998
Pain,Party in My Head,Party in My Head,0.445,0.914,-5.001,0.0494,0.0,0.549,0.587,135.032
Atreyu,Baptize,Baptize,0.595,0.914,-5.306,0.0598,0.000783,0.155,0.479,104.901
Helloween,HELLOWEEN,BEST TIME,0.375,0.925,-7.462,0.112,7.02e-06,0.0863,0.307,170.11
Orchards,Kill The Pain,Wasting Away,0.442,0.806,-5.549,0.0603,2.76e-05,0.0976,0.408,92.933
Caskets,The Only Ones,The Only Ones,0.452,0.901,-6.533,0.0582,8.57e-06,0.122,0.123,105.937
dEMOTIONAL,Scandinavian Aftermath,Scandinavian Aftermath,0.47,0.948,-5.072,0.0843,1.54e-05,0.109,0.284,100.014
Bloodred Hourglass,Nightmares Are Dreams Too,Nightmares Are Dreams Too,0.43,0.988,-4.442,0.158,0.00633,0.358,0.122,150.0
Novelists FR,Do you really wanna know?,Do you really wanna know?,0.461,0.876,-5.27,0.0961,0.00018,0.172,0.362,91.525
Fight The Fade,Matter Of Time,Matter Of Time,0.546,0.883,-2.691,0.0531,5e-05,0.627,0.399,119.998
Light The Torch,You Will Be the Death of Me,Become the Martyr,0.482,0.885,-5.728,0.0509,0.00073,0.0755,0.403,130.089
Memphis May Fire,Death Inside,Death Inside,0.413,0.994,-2.239,0.212,0.0,0.351,0.457,154.959
Afterlife,Envy,Envy,0.402,0.896,-7.116,0.0821,4.71e-05,0.293,0.248,177.072
Deftones,Ohms,Ceremony,0.281,0.665,-5.003,0.0651,0.0841,0.109,0.195,147.122
Times Of Grace,Rescue,Rescue,0.417,0.933,-5.3,0.0582,0.414,0.153,0.157,146.075
Matthew K. Heafy,Right Here Waiting (feat. Richard Marx),Right Here Waiting (feat. Richard Marx),0.438,0.978,-2.932,0.121,0.829,0.176,0.146,105.975
TheCityIsOurs,Dangerous,Dangerous,0.563,0.907,-5.792,0.0688,3.18e-05,0.434,0.305,105.964
As Everything Unfolds,Within Each Lies the Other,On the Inside,0.479,0.963,-4.564,0.059,3.63e-05,0.111,0.573,131.931
Outrun the Fall,Cost of Lies,Cost of Lies,0.416,0.895,-3.869,0.0469,0.75,0.482,0.237,119.958
Fear Factory,Aggression Continuum,Recode,0.48,0.954,-5.762,0.104,2.34e-05,0.556,0.151,163.01
Rising Insane,Afterglow,Afterglow,0.415,0.944,-5.744,0.115,0.0,0.193,0.119,162.105
Sullivan King,LOUD,Lock Me Up,0.425,0.944,-4.707,0.0815,0.000163,0.288,0.414,95.029
Once Human,Deadlock,Deadlock,0.453,0.949,-5.803,0.121,0.00192,0.292,0.52,161.981
Avenged Sevenfold,Waking The Fallen,Unholy Confessions,0.448,0.875,-5.446,0.0666,0.00109,0.255,0.524,92.53
Bring Me The Horizon,Suicide Season Cut Up!,Chelsea Smile,0.406,0.891,-5.201,0.105,0.0175,0.328,0.22,99.898
Killswitch Engage,The End of Heartache (Special Edition),The End of Heartache,0.469,0.976,-3.569,0.111,0.217,0.0636,0.222,124.001
Bullet For My Valentine,The Poison,Hand Of Blood,0.378,0.986,-2.769,0.0832,0.0,0.0833,0.492,94.458
Parkway Drive,Horizons (Deluxe Edition),Carrion,0.228,0.969,-4.07,0.1,0.0,0.0982,0.428,155.212
Atreyu,A Death-Grip On Yesterday,Ex's And Oh's,0.348,0.987,-3.172,0.232,0.0365,0.286,0.135,159.995
Asking Alexandria,Stand Up And Scream,Not The American Average,0.236,0.892,-4.106,0.188,0.0,0.278,0.0685,184.981
A Day To Remember,Homesick,The Downfall Of Us All,0.588,0.881,-4.62,0.0666,0.0,0.326,0.709,129.947
Of Mice & Men,Of Mice & Men,SECOND & SEBRING,0.273,0.973,-3.324,0.0807,0.0,0.388,0.179,133.428
Trivium,Ascendancy,Dying in Your Arms,0.446,0.933,-3.605,0.0537,9.67e-05,0.085,0.753,159.961
Beartooth,Disgusting,In Between,0.462,0.972,-2.642,0.138,0.0,0.666,0.449,128.092
Architects,Daybreaker,These Colours Don't Run,0.232,0.966,-3.838,0.243,0.00997,0.0946,0.0707,125.036
Underoath,Define The Great Line,Writing On The Walls,0.358,0.959,-3.139,0.0874,0.000237,0.356,0.171,91.938
36 Crazyfists,A Snow Capped Romance,At the End of August,0.459,0.963,-5.154,0.0961,0.000693,0.232,0.338,98.026
While She Sleeps,Brainwashed (Deluxe),Four Walls,0.485,0.984,-3.389,0.107,3.76e-06,0.17,0.109,136.05
As I Lay Dying,Frail Words Collapse,Forever,0.293,0.996,-4.354,0.167,0.0151,0.112,0.269,175.094
We Came As Romans,Tracing Back Roots,Hope,0.503,0.974,-4.286,0.108,0.0,0.726,0.357,134.974
The Amity Affliction,Let the Ocean Take Me,Pittsburgh (No Intro),0.386,0.943,-3.033,0.185,0.0,0.0928,0.402,148.008
blessthefall,Witness,"Hey Baby, Here's That Song You Wanted",0.199,0.955,-2.774,0.111,2.1e-05,0.098,0.454,184.916
Unearth,The March,My Will Be Done,0.219,0.921,-5.663,0.0787,0.0515,0.123,0.535,166.307
Norma Jean,Bless The Martyr And Kiss...,Memphis Will Be Laid To Waste,0.193,0.948,-5.623,0.138,0.00515,0.306,0.158,81.636
Still Remains,Of Love And Lunacy,The Worst Is yet to Come,0.351,0.995,-3.174,0.134,0.00284,0.322,0.143,193.946
Bury Tomorrow,Runes,Man on Fire,0.392,0.971,-2.05,0.0898,0.0,0.177,0.24,159.822
The Ghost Inside,Get What You Give,Engine 45,0.493,0.948,-4.18,0.0964,0.0,0.267,0.482,146.526
It Dies Today,Sirens,A Port In Any Storm,0.348,0.972,-3.236,0.114,0.000654,0.202,0.308,185.028
Bleeding Through,"This Is Love, This Is Murderous",On Wings of Lead,0.211,0.955,-4.89,0.0957,0.00145,0.133,0.362,95.471
Eighteen Visions,Obsession,I Let Go,0.332,0.983,-3.621,0.124,0.0,0.178,0.12,158.221
Every Time I Die,Hot Damn!,Ebolarama,0.35,0.964,-4.838,0.103,3.14e-05,0.179,0.266,92.576
The Dillinger Escape Plan,Ire Works,Milk Lizard,0.405,0.996,-2.114,0.231,0.000165,0.343,0.182,172.036
Poison The Well,The Opposite of December... A Season of Separation,Nerdy,0.367,0.811,-5.862,0.0912,0.0,0.287,0.259,117.065
Shai Hulud,Hearts Once Nourished With Hope And Compassion,My Heart Bleeds The Darkest Blood,0.287,0.919,-3.705,0.0804,3.7e-06,0.081,0.354,138.875
Converge,Jane Doe,Concubine,0.206,0.968,-3.648,0.201,0.00959,0.253,0.187,168.116
Snapcase,Progression Through Unlearning,Caboose,0.423,0.958,-4.167,0.0984,9.97e-06,0.376,0.559,98.286
Cave In,Until Your Heart Stops,Moral Eclipse,0.283,0.888,-5.734,0.0995,0.000172,0.419,0.164,92.447
Earth Crisis,Destroy The Machines,Forced March,0.379,0.822,-8.854,0.0703,0.0072,0.172,0.225,100.548
Hatebreed,Satisfaction Is The Death Of Desire,Empty Promises,0.308,0.935,-6.516,0.16,4.21e-05,0.259,0.124,105.617
Misery Signals,Controller,A Certain Death,0.252,0.862,-6.325,0.067,0.00311,0.421,0.196,99.986
Darkest Hour,Deliver Us,DEMON(S),0.136,0.957,-4.391,0.144,0.0892,0.365,0.105,80.773
Evergreen Terrace,Wolfbiker,Chaney Can't Quite Riff Like Helmet's Page Hamilton,0.415,0.989,-4.299,0.14,0.0817,0.733,0.191,147.723
From Autumn To Ashes,Too Bad You're Beautiful,Short Stories With Tragic Endings,0.215,0.752,-6.481,0.0441,0.009,0.112,0.0585,93.758
Memphis May Fire,The Hollow,The Sinner,0.207,0.977,-2.583,0.193,0.0,0.296,0.42,128.278
Code Orange,Forever,Forever,0.306,0.883,-4.205,0.0855,0.774,0.185,0.43,81.188
August Burns Red,Guardians,Paramount,0.214,0.968,-4.902,0.173,0.0699,0.136,0.237,156.293
Northlane,Singularity,Quantum Flux,0.53,0.907,-3.066,0.0589,3.91e-05,0.1,0.264,109.997
The Devil Wears Prada,Dead Throne,Born To Lose,0.229,0.99,-2.901,0.158,0.0447,0.263,0.173,164.892
All That Remains,Overcome,Two Weeks,0.558,0.943,-4.81,0.0535,4.38e-05,0.248,0.56,111.994
Motionless In White,Reincarnate,Reincarnate,0.478,0.992,-3.165,0.211,0.000206,0.327,0.117,109.969
Volumes,No Sleep,Erased,0.364,0.907,-5.673,0.0806,0.00225,0.0545,0.401,199.991
Zao,Where Blood And Fire Bring Rest,"Lies Of Serpents, A River Of Tears",0.309,0.758,-7.7,0.0655,0.579,0.173,0.152,145.439
Between The Buried And Me,The Silent Circus,Mordecai,0.199,0.913,-5.772,0.0915,0.153,0.232,0.266,148.641
Bring Me The Horizon,POST HUMAN: SURVIVAL HORROR,Parasite Eve,0.589,0.797,-5.464,0.15,4.35e-06,0.383,0.232,102.489
Rammstein,DEUTSCHLAND,DEUTSCHLAND,0.521,0.895,-5.242,0.0442,0.349,0.0985,0.237,120.117
I Prevail,TRAUMA,Gasoline,0.546,0.945,-4.399,0.0531,0.0,0.724,0.545,135.128
Architects,Holy Hell,Doomsday,0.523,0.979,-4.214,0.159,2.56e-05,0.153,0.179,125.038
Slipknot,We Are Not Your Kind,Nero Forte,0.336,0.978,-2.358,0.0846,0.000525,0.138,0.496,129.842
Motionless In White,Disguise,Another Life,0.39,0.939,-3.828,0.0787,0.0,0.0968,0.495,161.997
Trivium,What The Dead Men Say,Catastrophist,0.263,0.965,-4.25,0.197,3.13e-05,0.0598,0.488,157.102
Bury Tomorrow,Black Flame,Black Flame,0.41,0.938,-5.04,0.075,0.00465,0.153,0.163,148.991
Upon A Burning Body,All Pride No Pain,All Pride No Pain,0.594,0.933,-6.072,0.198,0.359,0.264,0.159,108.041
Slipknot,Unsainted,Unsainted,0.427,0.944,-2.885,0.0565,0.0159,0.0625,0.248,101.078
I Prevail,TRAUMA,Bow Down,0.426,0.959,-4.95,0.0525,6.54e-06,0.707,0.372,155.01
Saint Asonia,Flawed Design,Blind,0.135,0.955,-4.634,0.163,3.19e-06,0.407,0.37,198.782
HELLYEAH,Oh My God,Oh My God,0.315,0.975,-2.912,0.198,0.0,0.248,0.35,159.455
The Raven Age,Fleur de lis,Fleur de lis,0.453,0.971,-4.239,0.1,0.000327,0.0873,0.252,85.027
Korn,You'll Never Find Me,You'll Never Find Me,0.581,0.903,-5.013,0.0786,0.124,0.187,0.177,107.028
Five Finger Death Punch,Inside Out,Inside Out,0.476,0.991,-2.855,0.15,0.0,0.121,0.202,82.997
August Burns Red,Paramount,Paramount,0.214,0.968,-4.902,0.173,0.0699,0.136,0.237,156.293
Equilibrium,Renegades - A Lost Generation,Renegades - A Lost Generation,0.465,0.957,-5.959,0.081,0.629,0.254,0.309,113.075
ERRA,Eye of God,Eye of God,0.481,0.979,-3.11,0.182,0.00984,0.165,0.311,120.012
Mark Morton,Cross Off,Cross Off,0.532,0.935,-5.102,0.129,0.0,0.0989,0.325,131.997
Bad Omens,Finding God Before God Finds Me (Deluxe),Limits,0.312,0.968,-3.316,0.418,4.37e-05,0.113,0.3,103.005
Demon Hunter,On My Side,On My Side,0.48,0.953,-5.061,0.0889,0.0667,0.0805,0.268,95.016
Killswitch Engage,Atonement,The Signal Fire (feat. Howard Jones),0.493,0.984,-4.222,0.0672,4.99e-06,0.349,0.192,103.963
Static-X,"Project Regeneration, Vol. 1",Terminator Oscillator,0.501,0.986,-6.373,0.0784,0.876,0.426,0.426,139.918
Falling In Reverse,Popular Monster,Popular Monster,0.461,0.897,-3.982,0.092,0.0,0.0965,0.358,165.107
Wheel,Vultures,Vultures,0.332,0.841,-6.888,0.043,0.199,0.806,0.556,132.712
Nonpoint,Chaos And Earthquakes,Chaos And Earthquakes,0.524,0.843,-5.578,0.0536,0.125,0.375,0.212,85.993
Jinjer,On the Top,On the Top,0.214,0.959,-5.118,0.105,0.0162,0.377,0.179,82.415
Sleeping With Sirens,Leave It All Behind,Leave It All Behind,0.555,0.925,-4.008,0.121,0.000345,0.122,0.308,97.495
Upon A Burning Body,5x3,5x3,0.538,0.966,-4.94,0.112,0.132,0.191,0.263,124.981
Life Of Agony,The Sound of Scars,Lay Down,0.637,0.83,-5.462,0.0269,0.391,0.207,0.388,115.966
As I Lay Dying,Destruction or Strength,Destruction or Strength,0.436,0.973,-5.887,0.173,0.564,0.0763,0.0394,119.945
Of Mice & Men,Taste of Regret,Taste of Regret,0.58,0.981,-3.529,0.048,0.00353,0.373,0.39,105.011
Disturbed,Evolution (Deluxe Edition),No More,0.53,0.988,-2.406,0.121,0.0,0.222,0.521,101.28
Body Count,Bum-Rush,Bum-Rush,0.511,0.967,-1.721,0.0995,0.000785,0.308,0.351,141.336
Equilibrium,One Folk,One Folk,0.209,0.951,-8.108,0.149,0.109,0.372,0.147,179.901
coldrain,THE SIDE EFFECTS,MAYDAY (feat. Ryo from Crystal Lake),0.522,0.97,-4.576,0.209,0.0,0.246,0.488,121.054
Bad Omens,The Hell I Overcame,The Hell I Overcame,0.391,0.975,-4.292,0.111,0.0,0.0927,0.233,74.994
Bad Wolves,Killing Me Slowly,Killing Me Slowly,0.345,0.89,-4.175,0.0774,2.98e-06,0.204,0.276,137.973
Sleep Token,Sundowning,The Offering,0.48,0.861,-6.836,0.0477,0.0559,0.0907,0.377,135.055
Anaal Nathrakh,A New Kind of Horror,Forward!,0.441,0.997,-4.928,0.19,0.019,0.147,0.0314,150.036
Sabaton,The Red Baron,The Red Baron,0.404,0.97,-5.853,0.42,0.0,0.0741,0.196,95.047
Children Of Bodom,Platitudes and Barren Words,Platitudes and Barren Words,0.314,0.963,-7.234,0.0595,0.213,0.342,0.401,179.944
While She Sleeps,FAKERS PLAGUE,FAKERS PLAGUE,0.42,0.876,-5.35,0.098,0.000146,0.157,0.117,119.091
The Amity Affliction,Soak Me in Bleach,Soak Me in Bleach,0.185,0.91,-5.283,0.151,0.0,0.18,0.188,165.355
Lost Society,No Absolution,No Absolution,0.523,0.94,-4.74,0.0532,0.00861,0.18,0.425,124.027
A Day To Remember,Resentment,Resentment,0.496,0.955,-3.607,0.196,9.64e-05,0.0549,0.143,122.956
Make Them Suffer,Hollowed Heart,Hollowed Heart,0.357,0.985,-2.878,0.159,0.000454,0.152,0.35,90.302
Bullet For My Valentine,Gravity,Over It,0.374,0.971,-4.284,0.0697,0.0,0.322,0.701,97.625
Kataklysm,Underneath the Scars,Underneath the Scars,0.446,0.972,-5.689,0.1,0.368,0.356,0.199,108.027
