artist,album,track_name,danceability,energy,loudness,speechiness,instrumentalness,liveness,valence,tempo
Slipknot,We Are Not Your Kind,Unsainted,0.427,0.946,-2.188,0.0469,0.0253,0.0604,0.237,101.305
Lamb of God,Sacrament,Descending,0.494,0.969,-3.5,0.0905,4.42e-05,0.0736,0.129,93.185
Lamb of God,Wrath (Special Edition),Set to Fail,0.485,0.996,-1.851,0.147,0.0043,0.104,0.315,112.73
Lamb of God,Wrath (Special Edition),Grace,0.3,0.977,-3.584,0.286,0.109,0.109,0.191,129.798
Lamb of God,Lamb of God,Gears,0.515,0.997,-3.066,0.104,0.715,0.287,0.129,135.004
The Curse Within,Seeking Vengeance,Out of Time,0.38,0.983,-5.482,0.172,0.235,0.349,0.22,186.941
The Curse Within,Seeking Vengeance,Seeking Vengeance,0.45,0.942,-5.604,0.128,0.634,0.135,0.369,180.022
The Curse Within,Seeking Vengeance,Hellfire,0.526,0.976,-6.334,0.104,0.00459,0.169,0.206,102.47
Slipknot,.5: The Gray Chapter (Special Edition),Custer,0.407,0.98,-1.58,0.107,0.000112,0.119,0.537,131.066
Eye of the Enemy,The Vengeance Paradox,The Shift,0.363,0.985,-5.701,0.0836,0.718,0.0775,0.0666,114.564
Avatar,Hunter Gatherer,Colossus,0.607,0.72,-6.114,0.0363,0.0132,0.0874,0.315,99.327
DED,Mis-An-Thrope,Hate Me,0.573,0.983,-4.006,0.196,0.0,0.261,0.447,105.067
Various Artists,Bill & Ted Face The Music (Original Motion Picture Soundtrack),The Death Of Us,0.548,0.992,-3.673,0.209,0.921,0.32,0.107,107.518
Lamb of God,The Duke,The Duke,0.5,0.964,-5.135,0.0849,0.000238,0.136,0.254,105.036
Lamb of God,Sacrament,Blacken the Cursed Sun,0.401,0.995,-2.831,0.118,0.00128,0.176,0.112,116.444
Lamb of God,Sacrament,Beating On Deaths Door,0.269,0.993,-3.884,0.172,2.71e-05,0.103,0.155,146.621
Slaughter to Prevail,Baba Yaga,Baba Yaga,0.251,0.966,-1.803,0.236,0.00326,0.577,0.278,195.038
